showDate	HolidayStatus	venue name	venue city	venue state	venue country	venue capacity
10/5/2023	0	State Theatre	Minneapolis	MN	United States	1870
10/9/2023	1	Packard Music Hall	Warren	OH	United States	2418
10/12/2023	0	American Music Theatre	Lancaster	PA	United States	1607
10/15/2023	0	The Palace Theatre	Greensburg	PA	United States	2800
10/17/2023	0	Midland Center For The Arts	Midland	MI	United States	1230
10/24/2023	0	Texas Trust Cu Theatre At Grand Prairie	Grand Prairie	TX	United States	7500
10/25/2023	0	Smart Financial Centre	Sugar Land	TX	United States	3000
11/2/2023	0	Sharon L. Morse Performing Arts Center	The Villages	FL	United States	950
11/7/2023	0	Jefferson Center	Roanoke	VA	United States	1500
11/8/2023	0	Capitol One Hall	Tysons Corner	VA	United States	1600
11/13/2023	2	"Hackensack Meridian Health Theatre Red - Bank, Nj"	Red Bank	NJ	United States	1000
11/24/2023	0	Kennedy Center Concert Hall	Washington	DC	United States	7012
11/28/2023	0	Bergen Performing Arts Center	Englewood	NJ	United States	1367
11/29/2023	0	Lowell Memorial Auditorium	Lowell	MA	United States	2800
11/30/2023	0	Count Basie Theatre	Red Bank	NJ	United States	1568
12/2/2023	0	Norton Center For The Arts	Danville	KY	United States	2700
12/3/2023	0	Music Hall Center For The Performing Arts	Detroit	MI	United States	1600
12/5/2023	0	Heinz Hall For The Performing Arts	Pittsburgh	PA	United States	2800
12/7/2023	0	Gallagher Bluedorn Performing Arts Center	Cedar Falls	IA	United States	1700
12/9/2023	0	Mystic Lake Casino	Prior Lake	MN	United States	4000
12/11/2023	0	Abravanel Hall	Salt Lake City	UT	United States	2768
12/12/2023	0	Boettcher Concert Hall	Denver	CO	United States	2634
12/15/2023	0	Segerstrom Center For The Arts	Costa Mesa	CA	United States	3100
12/16/2023	0	Segerstrom Center For The Arts	Costa Mesa	CA	United States	3100
12/18/2023	0	Peace Center For The Performing Arts	Greenville	SC	United States	2100
12/19/2023	0	Peabody Auditorium	Daytona Beach	FL	United States	2521
12/20/2023	0	Kroger Center For The Arts	Columbia	SC	United States	2400
12/21/2023	0	Atlanta Symphony Orchestra	Atlanta	GA	United States	1762
6/23/2023	0	Hollywood Casino Amphitheatre Stl	Maryland Heights	MO	United States	20000
6/24/2023	0	Azura Amphitheatre	Bonner Springs	KS	United States	18000
6/28/2023	0	Dos Equis Pavilion	Dallas	GA	United States	20000
6/30/2023	0	Talking Stick Resort Amphitheater	Phoenix	AZ	United States	20000
7/1/2023	0	North Island Credit Union Amphitheatre	Chula Vista	CA	United States	20500
7/5/2023	0	Shoreline Amphitheater	Mountain View	CA	United States	23000
7/7/2023	0	Usana Amphiteater	Salt Lake City	UT	United States	25000
7/9/2023	0	Fiddler'S Green Amphitheatre	Englewood	CO	United States	18000
7/11/2023	0	Walmart Amp	Rogers	AR	United States	10000
7/13/2023	0	Somerset Amphitheater	Somerset	KY	United States	40000
7/15/2023	0	Riverbend Music Center	Cincinnati	OH	United States	20500
7/16/2023	0	Ruoff Music Center	Noblesville	IN	United States	24790
7/18/2023	0	Blossom Music Center	Cuyahoga Falls	OH	United States	23000
7/19/2023	0	Jiffy Lube Live	Bristow	VA	United States	25262
7/21/2023	0	Pnc Music Pavilion	Charlotte	NC	United States	18500
7/24/2023	0	Ithink Financial Amphitheatre	West Palm Beach	FL	United States	25000
7/25/2023	0	Midflorida Credit Union Amphitheatre	Tampa	FL	United States	20000
7/26/2023	0	Lakewood Amphitheater	Atlanta	GA	United States	15669
8/1/2023	0	Forest Hills Stadium	Forest Hills	NY	United States	14000
11/8/2022	0	Downtown Nashville	Nashville	TN	United States	6800
11/9/2022	0	Bridgestone Arena	Nashville	TN	United States	20000
5/16/2022	0	Union Transfer	Philadelphia	PA	United States	1200
5/21/2022	0	Royale	Boston	MA	United States	1200
5/26/2022	0	El Club	Detroit	MI	United States	475
5/27/2022	2	Riviera Theatre	Chicago	IL	United States	2500
5/28/2022	2	The Fillmore Minneapolis	Minneapolis	MN	United States	1850
5/30/2022	1	The Gothic Theater	Englewood	CO	United States	1200
5/31/2022	0	The Depot	Salt Lake City	UT	United States	1200
6/4/2022	0	Showbox Sodo	Seattle	WA	United States	1300
6/5/2022	0	Wonder Ballroom Concert Merchandise	Portland	OR	United States	778
6/7/2022	0	Great American Music Hall	San Francisco	CA	United States	740
6/8/2022	0	Henry Fonda Theatre	Los Angeles	CA	United States	1200
6/11/2022	0	The Observatory North Park	San Diego	CA	United States	1200
6/12/2022	0	Marquee Theatre	Tempe	AZ	United States	2500
6/15/2022	0	Granada Theater	Dallas	TX	United States	1600
6/20/2022	1	The Orange Peel	Asheville	NC	United States	1050
6/21/2022	0	The National	Richmond	VA	United States	1000
6/28/2022	0	The Pageant/Delmar Hall	St. Louis	MO	United States	2400
6/29/2022	0	The Truman	Kansas City	MO	United States	600
7/9/2022	0	Lakeland Community College	Kirtland	OH	United States	1200
6/27/2023	0	The Cynthia Woods Mitchell Pavilion	The Woodlands	TX	United States	16500
2/27/2023	0	The Knitting Factory	Spokane	WA	United States	702
2/28/2023	0	Revolution Concert House & Event Center	Garden City	ID	United States	2000
3/2/2023	0	Fox Theatre	Boulder	CO	United States	5174
3/4/2023	0	Slowdown	Omaha	NE	United States	677
3/6/2023	0	Granada Theatre	Lawrence	KS	United States	1550
3/7/2023	0	Wooly'S	Des Moines	IA	United States	700
3/8/2023	0	The Intersection	Grand Rapids	MI	United States	1000
3/13/2023	0	Bogarts	Cincinnati	OH	United States	1500
3/14/2023	0	Newport Music Hall	Columbus	OH	United States	1700
3/15/2023	0	Xl Live	Harrisburg	PA	United States	25000
3/17/2023	0	The Town Ballroom	Buffalo	NY	United States	700
3/20/2023	0	Higher Ground Ballroom	South Burlington	VT	United States	1200
3/21/2023	0	State Theatre	Portland	ME	United States	1870
3/22/2023	0	Fete Music Hall	Providence	RI	United States	605
3/23/2023	0	Toad'S Place	New Haven	CT	United States	900
3/25/2023	0	Starland Ballroom	Sayreville	NJ	United States	2500
3/26/2023	0	Paramount Theatre	Huntington	NY	United States	3040
3/28/2023	0	Rams Head Live	Baltimore	MD	United States	1750
3/30/2023	0	The Norva	Norfolk	VA	United States	1500
3/31/2023	0	Music Farm	Charleston	SC	United States	1500
4/1/2023	0	The Ritz	Raleigh	NC	United States	1800
4/3/2023	0	Jannus Live	Saint Petersburg	FL	United States	2000
4/4/2023	0	Vivid Music Hall	Gainesville	FL	United States	1050
4/5/2023	0	Vinyl Music Hall	Pensacola	FL	United States	840
4/7/2023	0	Minglewood Hall	Memphis	TN	United States	2000
4/8/2023	0	Iron City Birmingham	Birmingham	AL	United States	1000
4/9/2023	0	"Little Rock Music Hall/Little Rock, Ar"	Little Rock	AR	United States	1200
4/11/2023	0	Tower Theatre	Oklahoma City	OK	United States	2100
4/12/2023	0	Tannahill'S Tavern & Music Hall	Fort Worth	TX	United States	691
4/14/2023	0	Rock Box	San Antonio	TX	United States	606
4/16/2023	0	Encore	Tucson	AZ	United States	2000
4/17/2023	0	The Observatory North Park	San Diego	CA	United States	1200
4/18/2023	0	The Observatory	Santa Ana	CA	United States	1100
10/3/2023	0	Charleston Coliseum	Charleston	WV	United States	13247
10/10/2023	0	Rupp Arena	Lexington	KY	United States	20500
1/28/2023	0	Grand Sierra Resort Theatre	Reno	NV	United States	2426
2/21/2023	0	Majestic Ventura Theatre	Los Angeles	CA	United States	1500
2/22/2023	0	The Midway	San Francisco	CA	United States	800
2/24/2023	0	Riverside Municipal Auditorium	Riverside	CA	United States	1500
2/25/2023	0	Marquee Theater	Phoenix	AZ	United States	3000
2/26/2023	0	Rialto Theatre	Tucson	AZ	United States	1200
3/5/2023	0	Jj'S Live	Fayetteville	AR	United States	3000
3/10/2023	0	The Carolina Theatre	Durham	NC	United States	2100
3/11/2023	0	The Wellmont Theater	Montclair	NJ	United States	2600
3/12/2023	0	Paramount Theatre	Huntington	NY	United States	3040
3/18/2023	0	Parx Casino- Xcite Center	Bensalem	PA	United States	5000
3/19/2023	0	The Town Ballroom	Buffalo	NY	United States	700
3/24/2023	0	The Factory	Chesterfield	MO	United States	3000
3/27/2023	0	Ogden Theatre	Denver	CO	United States	1600
3/29/2023	0	Knitting Factory	Boise	ID	United States	719
6/16/2023	2	Charleen & Charles Hinson Amphitheater	New Albany	OH	United States	800
6/17/2023	2	Community Center Performing Arts Pavillion	New Lenox	IL	United States	3000
6/10/2022	0	Northwell Health At Jones Beach Theater	Wantagh	NY	United States	15000
6/14/2022	0	Bb&T Pavillion (Formerly Susquehanna Bank Center)	Camden	NJ	United States	25488
6/30/2022	0	Pnc Music Pavilion	Charlotte	NC	United States	18500
