Item Name,Product Type,Sex,Reorder,Size,SKU,Total Needed,On Hand,In Transit,Shows Left,+/-,Sales to Date,Inglewood - 03/05/25 ($35.00/head),Las Vegas - 03/08/25 ($30.00/head),Phoenix - 03/09/25 ($30.00/head),Austin - 03/12/25 ($30.00/head),San Antonio - 03/13/25 ($35.00/head),Dallas - 03/15/25 ($35.00/head),Houston - 03/16/25 ($32.00/head),Atlanta - 03/18/25 ($30.00/head),Orlando - 03/20/25 ($30.00/head),Sunrise - 03/22/25 ($30.00/head),Charlotte - 03/24/25 ($30.00/head),Nashville - 03/26/25 ($30.00/head),"Indianapolis, IN - 03/28/25 ($30.00/head)",Columbus - 03/29/25 ($30.00/head),Chicago - 03/31/25 ($30.00/head),Detroit - 04/01/25 ($30.00/head),New York City - 04/03/25 ($30.00/head),Philadelphia - 04/04/25 ($30.00/head),Washington - 04/06/25 ($30.00/head),Boston - 04/08/25 ($30.00/head),Newark - 04/09/25 ($30.00/head),Warehouse,Ordered,Global +/-
Black Flower Hoodie,Sweatshirt,Unisex,Not Set,M,DEFTONES-HOOD1023-M,1658,199,0,1,-1459,292,158,68,73,62,92,85,72,68,68,68,84,73,73,79,79,79,79,73,79,73,73,0,0,-1459
Black Flower Hoodie,Sweatshirt,Unisex,Not Set,L,DEFTONES-HOOD1023-L,1658,269,0,2,-1389,298,158,68,73,62,92,85,72,68,68,68,84,73,73,79,79,79,79,73,79,73,73,0,0,-1389
Black Flower Hoodie,Sweatshirt,Unisex,Not Set,XL,DEFTONES-HOOD1023-XL,1434,329,0,4,-1105,251,137,59,63,54,80,74,62,59,59,59,73,63,63,68,68,68,68,63,68,63,63,0,0,-1105
Black Flower Hoodie,Sweatshirt,Unisex,Not Set,2XL,DEFTONES-HOOD1023-XXL,446,56,0,1,-390,87,42,18,20,17,25,23,19,18,18,18,23,20,20,21,21,21,21,20,21,20,20,0,0,-390
"Eyes Hoodie 	",Sweatshirt,Unisex,Not Set,S,DEFTONES-HOOD1027-S,1989,420,0,3,-1569,354,189,81,88,74,110,102,86,81,81,81,101,88,88,95,95,95,95,88,95,88,88,0,0,-1569
"Eyes Hoodie 	",Sweatshirt,Unisex,Not Set,M,DEFTONES-HOOD1027-M,3313,495,0,2,-2818,569,315,135,146,124,184,171,144,135,135,135,169,146,146,158,158,158,158,146,158,146,146,0,0,-2818
"Eyes Hoodie 	",Sweatshirt,Unisex,Not Set,L,DEFTONES-HOOD1027-L,3313,785,0,4,-2528,567,315,135,146,124,184,171,144,135,135,135,169,146,146,158,158,158,158,146,158,146,146,0,0,-2528
"Eyes Hoodie 	",Sweatshirt,Unisex,Not Set,XL,DEFTONES-HOOD1027-XL,2541,786,0,5,-1755,432,242,104,112,95,141,131,110,104,104,104,129,112,112,121,121,121,121,112,121,112,112,0,0,-1755
"Eyes Hoodie 	",Sweatshirt,Unisex,Not Set,2XL,DEFTONES-HOOD1027-XXL,1658,342,0,3,-1316,302,158,68,73,62,92,85,72,68,68,68,84,73,73,79,79,79,79,73,79,73,73,0,0,-1316
Prism Crop Top Hoodie,Sweatshirt,Female,Not Set,S,DEFTONES-HOOD1026-S,633,28,0,0,-605,115,60,26,28,24,35,33,27,26,26,26,32,28,28,30,30,30,30,28,30,28,28,0,0,-605
Prism Crop Top Hoodie,Sweatshirt,Female,Not Set,M,DEFTONES-HOOD1026-M,883,143,0,2,-740,152,84,36,39,33,49,46,38,36,36,36,45,39,39,42,42,42,42,39,42,39,39,0,0,-740
Prism Crop Top Hoodie,Sweatshirt,Female,Not Set,L,DEFTONES-HOOD1026-L,633,247,0,7,-386,116,60,26,28,24,35,33,27,26,26,26,32,28,28,30,30,30,30,28,30,28,28,0,0,-386
Prism Crop Top Hoodie,Sweatshirt,Female,Not Set,XL,DEFTONES-HOOD1026-XL,378,220,0,12,-158,59,36,15,17,14,21,20,16,15,15,15,19,17,17,18,18,18,18,17,18,17,17,0,0,-158
Prism Crop Top Hoodie,Sweatshirt,Female,Not Set,2XL,DEFTONES-HOOD1026-XXL,128,193,0,21,65,22,12,5,6,5,7,7,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,0,0,65
Black Label Beanie,Hat - Other,,Not Set,,,2873,789,0,5,-2084,505,273,117,127,107,159,148,125,117,117,117,146,127,127,137,137,137,137,127,137,127,127,0,0,-2084
2025 Logo Snapback,Hat - Other,,Not Set,,,2746,1001,0,6,-1745,484,261,112,121,103,152,142,119,112,112,112,140,121,121,131,131,131,131,121,131,121,121,0,0,-1745
Black Rose Snapback Hat,Hat - Other,,Not Set,,,2943,588,0,3,-2355,539,280,120,130,110,163,152,128,120,120,120,150,130,130,140,140,140,140,130,140,130,130,0,0,-2355
"Skulls & Roses Tote 	",Bag,,Not Set,,DEFTONES-ACC1041,4287,969,0,4,-3318,758,408,175,189,160,238,221,187,175,175,175,219,189,189,204,204,204,204,189,204,189,189,0,0,-3318
2025 Tour Patch Set,Patch,,Not Set,,DEFTONES-ACC1043,2943,483,0,2,-2460,514,280,120,130,110,163,152,128,120,120,120,150,130,130,140,140,140,140,130,140,130,130,0,0,-2460
Enamel Pin Set,Pin,,Not Set,,,0,0,0,21,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exclusive Show Poster,Poster,,Not Set,,,3313,400,0,1,-2913,593,315,135,146,124,184,171,144,135,135,135,169,146,146,158,158,158,158,146,158,146,146,0,0,-2913
LA EVENT TEE,T-Shirt,Unisex,Not Set,S,,0,142,0,21,142,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142
LA EVENT TEE,T-Shirt,Unisex,Not Set,M,,0,240,0,21,240,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240
LA EVENT TEE,T-Shirt,Unisex,Not Set,L,,0,286,0,21,286,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286
LA EVENT TEE,T-Shirt,Unisex,Not Set,XL,,0,238,0,21,238,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238
LA EVENT TEE,T-Shirt,Unisex,Not Set,2XL,,0,144,0,21,144,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144
LA EVENT TEE,T-Shirt,Unisex,Not Set,3XL,,0,72,0,21,72,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventory Forecast Includes: On Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
