Item Name,Product Type,Sex,Reorder,Size,SKU,Total Needed,On Hand,In Transit,Shows Left,+/-,Sales to Date,Lancaster - 03/12/26 ($3.28/head),Englewood - 03/13/26 ($3.28/head),Flint - 03/14/26 ($3.28/head),Prior Lake - 03/27/26 ($3.28/head),Kansas City - 03/28/26 ($3.28/head),Saint Louis - 03/29/26 ($3.28/head),Warehouse,Ordered,Global +/-
50th Anniversary Denim Jacket,Jacket,Unisex,Not Set,XL,AIRS-JACK1001-XL,3,4,0,6,1,2,1,0,1,1,0,0,43,0,44
50th Anniversary Denim Jacket,Jacket,Unisex,Not Set,2XL,AIRS-JACK1001-XXL,0,5,0,6,5,1,0,0,0,0,0,0,8,0,13
Distressed Logo Tote,Bag,,Not Set,,AIRS-ACC1008,39,0,0,0,-39,46,8,1,8,11,5,6,436,0,397
Jazzy Balloon Magnet,Magnet,,Not Set,,AIRS-ACC1009,50,39,0,4,-11,61,11,1,10,14,7,7,669,0,658
White Logo Tee,T-Shirt,Unisex,Not Set,S,AIRS-T1002-S,0,0,0,6,0,,N/A,N/A,N/A,N/A,N/A,N/A,39,0,39
White Logo Tee,T-Shirt,Unisex,Not Set,M,AIRS-T1002-M,0,0,0,6,0,,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
White Logo Tee,T-Shirt,Unisex,Not Set,L,AIRS-T1002-L,0,0,0,6,0,,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
White Logo Tee,T-Shirt,Unisex,Not Set,XL,AIRS-T1002-XL,0,0,0,6,0,,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
White Logo Tee,T-Shirt,Unisex,Not Set,2XL,AIRS-T1002-XXL,0,0,0,6,0,,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
White Logo Tee,T-Shirt,Unisex,Not Set,3XL,AIRS-T1002-3X,0,0,0,6,0,,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
,,,,,,,,,,,,,,,,,,,,
Inventory Forecast Includes: On Hand + In Transit,,,,,,,,,,,,,,,,,,,,
